level	rank	word	coverage_perc	coverage_perc_str
Advanced	1132	涼しい	86.27844356930306	86.28%
Advanced	1145	グループ	86.33116435084442	86.33%
Advanced	1158	発音	86.40546880805036	86.41%
Advanced	1171	順番	86.44439019039632	86.44%
Advanced	1184	リンゴ	86.51798698610507	86.52%
Advanced	1197	大切	86.6089214884952	86.61%
Advanced	1210	願い	86.68676425318714	86.69%
Advanced	1223	ポテト	86.79503646225865	86.8%
Advanced	1236	ごめん	86.85943365850379	86.86%
Advanced	1249	トトロ	86.94612219191072	86.95%
Advanced	1262	ロシア	87.03634903280366	87.04%
Advanced	1275	偉い	87.12091458171898	87.12%
Advanced	1288	地球	87.16302044080234	87.16%
Advanced	1301	指	87.25112429720367	87.25%
Advanced	1314	人口	87.31269084746003	87.31%
Advanced	1327	金曜	87.38557998167157	87.39%
Advanced	1340	約束	87.4666072231009	87.47%
Advanced	1353	畑	87.52392780437405	87.52%
Advanced	1366	平日	87.60849335328939	87.61%
Advanced	1379	アイロン	87.65130687386996	87.65%
Advanced	1392	兄ちゃん	87.72101153134409	87.72%
Advanced	1405	嘘	87.76205589818167	87.76%
Advanced	1418	たって	87.87422024548778	87.87%
Advanced	1431	モモ	87.93260231900672	87.93%
Advanced	1444	かっこいい	88.00726060696127	88.01%
Advanced	1457	ペン	88.04158218957544	88.04%
Advanced	1470	べし	88.091472325128	88.09%
Advanced	1483	殺す	88.16223847484794	88.16%
Advanced	1496	飲める	88.24397337777448	88.24%
Advanced	1509	記憶	88.30235545129342	88.3%
Advanced	1522	買える	88.3412768336394	88.34%
Advanced	1535	当たり前	88.43645730501272	88.44%
Advanced	1548	キロ	88.52703797665424	88.53%
Advanced	1561	かぶる	88.56666702049742	88.57%
Advanced	1574	埼玉	88.60063477236298	88.6%
Advanced	1587	辞儀	88.65972450737914	88.66%
Advanced	1600	無料	88.66998559908853	88.67%
Advanced	1613	通す	88.72482936512148	88.72%
Advanced	1626	バレンタイン	88.75525880950106	88.76%
Advanced	1639	返る	88.81222556002561	88.81%
Advanced	1652	マンション	88.843716496651	88.84%
Advanced	1665	ファン	88.89537578594656	88.9%
Advanced	1678	茹でる	88.9534040287169	88.95%
Advanced	1691	捕まえる	88.98984859582268	88.99%
Advanced	1704	敬語	89.04999982308462	89.05%
Advanced	1717	紅葉	89.11616617307277	89.12%
