video	level	wpm	sps	mean_sentence_length	average_rel_reps	ne_spot	tfp_log_ranks_unique	adv_props	det_props	noun_props	sconj_props	wa_props	gai_props	kan_props	aux_props	num_props	pron_props	verb_props
463	Intermediate	123.75825886767817	4.304290698201249	15.284210526315787	0.0031545741324921	6697	4.952281075348603	0.0245964642582628	0.0238278247501921	0.2513451191391238	0.0637970791698693	0.83046875	0.01953125	0.115625	0.1483474250576479	0.0245964642582628	0.0184473481936971	0.1398923904688701
464	Advanced	150.77431998261923	4.936860933276187	16.133828996282528	0.0008333333333333	9649	6.129050210060545	0.0351390922401171	0.0070544389724477	0.2142952216158658	0.0802608811393584	0.8564512224642944	0.0049624788186879	0.1140159767610748	0.1506721682417143	0.0090509783042725	0.0220950352721948	0.1662451750299481
465	Intermediate	130.90451220689323	4.4609010516395555	19.62295081967213	0.0045454545454545	3000	4.424828703319956	0.0474418604651162	0.0027906976744186	0.1925581395348837	0.0902325581395348	0.7570621468926554	0.0602636534839924	0.1403013182674199	0.1702325581395349	0.0055813953488372	0.0241860465116279	0.1376744186046511
466	Intermediate	113.11919857021635	3.485382842902608	13.068627450980392	0.0045871559633027	7009	4.362591247479385	0.0287206266318537	0.0139251523063533	0.2210617928633594	0.0696257615317667	0.8519823788546256	0.0096916299559471	0.1145374449339207	0.1557876414273281	0.0269799825935596	0.0365535248041775	0.1288076588337685
467	Intermediate	144.39377383885417	4.881310728728952	16.107526881720432	0.0017361111111111	7963	5.537326516942973	0.0331729551785262	0.0037984299822739	0.2486705495062041	0.0595087363889592	0.8353689567430026	0.0389312977099236	0.1068702290076335	0.1770068371739681	0.007343631299063	0.0288680678652823	0.1349708787034692
468	Beginner	102.6541445487954	3.4871376071866065	7.330985915492958	0.0056179775280898	4365	4.23410650459726	0.0385542168674698	0.0240963855421686	0.2253012048192771	0.0289156626506024	0.8615196078431373	0.0196078431372549	0.0759803921568627	0.2024096385542168	0.0108433734939759	0.0108433734939759	0.0891566265060241
469	Beginner	118.46093399191736	3.9318590031432423	8.202898550724637	0.0038610038610038	5699	4.579839228586978	0.0373831775700934	0.0071890726096333	0.2027318475916606	0.0496046010064701	0.844043321299639	0.047653429602888	0.0794223826714801	0.2329259525521207	0.0050323508267433	0.01941049604601	0.1229331416247304
470	Intermediate	133.99463223560133	4.376722762222544	11.636363636363637	0.0023474178403755	4115	5.12988120822676	0.0426054895534616	0.0028676771814829	0.2036050798852929	0.0618598934862761	0.8504750103263115	0.0148698884758364	0.1078066914498141	0.2056534207292093	0.0102417042195821	0.0299057763211798	0.1024170421958213
471	Complete Beginner	57.7541252946639	2.22515893992428	5.701612903225806	0.0098039215686274	4549	4.785893123976366	0.0371057513914656	0.0129870129870129	0.2319109461966604	0.0	0.7802607076350093	0.0800744878957169	0.1284916201117318	0.2152133580705009	0.0055658627087198	0.0575139146567718	0.0241187384044526
472	Beginner	75.02399907331123	2.4928860451574932	9.024390243902438	0.009090909090909	3648	4.526822374513483	0.0126582278481012	0.0	0.240506329113924	0.0158227848101265	0.8387096774193549	0.0290322580645161	0.0967741935483871	0.1772151898734177	0.0221518987341772	0.0316455696202531	0.1867088607594936
