video	level	teacher	wpm
564	Advanced	Chieko先生	170.14087810261347
565	Advanced	Momo先生	155.72237272687815
566	Complete Beginner	Meika先生	71.70875223303354
567	Beginner	Yoshito先生	87.43356763243614
568	Intermediate	Yuki先生	145.9418113000698
569	Advanced	Chieko先生	165.64051638530287
570	Beginner	Momo先生	102.8216055543264
571	Complete Beginner	Yuki先生	71.65667215399417
572	Advanced	Meika先生	182.23911525376718
573	Intermediate	Yoshito先生	138.57464954416236
574	Complete Beginner	Yuki先生	72.61360624730241
575	Advanced	Chieko先生	170.04588471465442
576	Beginner	Yuki先生	106.54959994335482
577	Beginner	Meika先生	123.26372040221432
578	Complete Beginner	Yuki先生	89.41454760496748
579	Intermediate	Yuki先生	133.76649742312793
580	Advanced	Yoshito先生	135.9901523311279
581	Intermediate	Chieko先生	111.61076698975153
582	Intermediate	Momo先生	121.18158919166477
583	Intermediate	Yuki先生	151.92804345890107
584	Complete Beginner	Momo先生	80.4339172775019
585	Complete Beginner	Meika先生	68.54384553499598
586	Beginner	Yuki先生	103.17359469161863
587	Intermediate	Yoshito先生	125.19402992548896
588	Advanced	Yoshito先生	159.0247921118348
589	Beginner	Chieko先生	111.40132916001232
590	Advanced	Yuki先生	158.66603336049926
591	Complete Beginner	Yuki先生	80.43297252289759
592	Intermediate	Yuki先生	137.30550284629982
593	Beginner	Momo先生	96.69594954777584
594	Intermediate	Yoshito先生	121.82622874446774
595	Intermediate	Meika先生	108.8961437552501
597	Beginner	Chieko先生	127.11229369220037
598	Intermediate	Yuki先生	134.80400475139996
599	Advanced	Yuki先生	154.99233495852036
601	Beginner	Meika先生	111.17297962402155
602	Beginner	Yuki先生	99.04613587697098
603	Intermediate	Yoshito先生	134.9001291861274
604	Complete Beginner	Yuki先生	69.35758953951108
605	Beginner	Yuki先生	96.93156273999463
606	Complete Beginner	Momo先生	75.8364312267658
607	Advanced	Chieko先生	168.49249695105783
608	Intermediate	Yuki先生	138.1807323354858
610	Intermediate	Yuki先生	144.85328365160692
611	Beginner	Chieko先生	114.15391158666817
612	Beginner	Meika先生	102.97482846591693
613	Complete Beginner	Yuki先生	61.8162193378637
615	Beginner	Yoshito先生	81.7223885543416
